Sr. No.,work_id,Work category,work_category_code,State,IDA,MP,Elected/Nominated,Work description,Recommended date,Sanction Date,sanction_lag_days,sanction_amount,Work Status,work_status_code
9348,WS/MP350/2025-2026/152832-Street lights,Normal/Others,1,Kerala,KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA),Shri Rajmohan Unnithan  (2024-2029),Elected MP,Mini High Mast Light near Kottappara Badar Juma Masjid and Panayal Cooperative Bank  in Pallkkara Grama panchayath,2024-11-18,2025-07-23,247,298935.0,Physical Inspection,0
9349,WS/MP18228/2024-2025/152833-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,"1- BRIJESH GAUTAM S\O ASHOK KUMAR, 2- KISHAN CHAUHAN S\O CHANDRA SEKHAR SINGH K GHAR KUL 02 NAG SOLAR LIGHT",2024-11-21,2024-12-06,15,41792.0,Physical Inspection,0
9350,WS/MP18228/2024-2025/152834-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,"1- PANKAJ YADAV S\O SHAMBHOO NATH YADAV, 2- SAROJ GIRI S\O MANOJ K GHAR KUL 02 NAG SOLAR LIGHT",2024-11-21,2024-12-06,15,41792.0,Physical Inspection,0
9351,WS/MP350/2025-2026/152835-Street lights,Normal/Others,1,Kerala,KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA),Shri Rajmohan Unnithan  (2024-2029),Elected MP,Mini High Mast Light at Pallikkara Beach Fish land Area,2024-11-18,2025-07-23,247,300000.0,Physical Inspection,0
9352,WS/MP18228/2024-2025/152836-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,SURENDRA YADAV S\O JAYRAM K GHAR 01 NAG SOLAR LIGHT,2024-11-21,2024-12-06,15,20896.0,Physical Inspection,0
9353,WS/MP18228/2024-2025/152837-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,"1- PRAVINDRA YADAV S\O FOOL CHANDRA, 2- RAVISHANKAR YADAV S\O MAKHODI K GHAR KUL 02 NAG SOLAR LIGHT",2024-11-21,2024-12-06,15,41792.0,Physical Inspection,0
9354,WS/MP18228/2024-2025/152838-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,"1- RAMESH YADAV S\O RAM CHANDAR, 2- ACCHELAL SAROJ S\O SHIV CHARAN K GHAR KUL 02 NAG SOLAR LIGHT",2024-11-21,2024-12-06,15,41792.0,Physical Inspection,0
9355,WS/MP18228/2024-2025/152839-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,SURESH PATEL S\O BHAGGAL RAM PATEL K GHAR 01 NAG SOLAR LIGHT,2024-11-21,2024-12-06,15,20896.0,Physical Inspection,0
9356,WS/MP18228/2024-2025/152840-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,AJEET YADAV S\O ASHOK KUMAR YADAV K GHAR 01 NAG SOLAR LIGHT,2024-11-21,2024-12-06,15,20896.0,Physical Inspection,0
9357,WS/MP18228/2024-2025/152841-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,HARI OM YADAV S\O SIYA RAM YADAV K GHAR 01 NAG SOLAR LIGHT,2024-11-21,2024-12-06,15,20896.0,Physical Inspection,0
9358,WS/MP18228/2024-2025/152842-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,"1- SANJAY YADAV S\O POONWASI YADAV, 2- VINOD YADAV S\O PATIRAJ YADAV K GHAR KUL 02 NAG SOLAR LIGHT",2024-11-21,2024-12-06,15,41792.0,Physical Inspection,0
9359,WS/MP18228/2024-2025/152843-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,"1- RAJESH KUMAR YADAV S\O BHAIYA LAL, 2- VIJAY BAHADUR YADAV S\O RAM ADHAR YADAV, 3- ROHIT PAL S\O BABU RAM PAL K GHAR KUL 03 NAG SOLAR LIGHT",2024-11-21,2024-12-06,15,62688.0,Physical Inspection,0
9360,WS/MP18228/2024-2025/152845-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,"1- SUJEET MAURYA S\O PARAS MAURYA, 2- SATYAM YADAV S\O LAL BAHADUR YADAV, 3- AVNEESH YADAV S\O SHANKAR YADAV K GHAR KUL 03 NAG SOLAR LIGHT",2024-11-21,2024-12-06,15,62688.0,Physical Inspection,0
9361,WS/MP18228/2024-2025/152846-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,AMIT SAROJ S\O SAHABU SAROJ K GHAR 01 NAG SOLAR LIGHT,2024-11-21,2024-12-06,15,20896.0,Physical Inspection,0
9362,WS/MP18228/2024-2025/152847-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,"1- ROSHAN ALI S\O SHARIF, 2- LAV YADAV S\O RAJ BAHADUR YADAV, 3- KARAN YADAV S\O SAMAR BAHADUR YADAV K GHAR KUL 03 NAG SOLAR LIGHT",2024-11-21,2024-12-06,15,62688.0,Physical Inspection,0
9363,WS/MP852/2024-2025/152848-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in fron of raypur jumma masjid dag no-3213,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9364,WS/MP852/2024-2025/152849-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front   of katakopra tirtha farma dag no-940,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9365,WS/MP852/2024-2025/152850-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light at raipur choa para jeker biswas more dag-3279,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9366,WS/MP852/2024-2025/152851-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of dumurtala paschimpara jumma masjid dag no -3453,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9367,WS/MP852/2024-2025/152852-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of kupila bus stand dag no-600,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9368,WS/MP852/2024-2025/152853-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of  motherpur alam bihari house dag no-49,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9369,WS/MP852/2024-2025/152855-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light at khosalpur kabarsthan dag no-465,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9370,WS/MP852/2024-2025/152856-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of laskarpur ramnapara mowlabox house dag no-664,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9371,WS/MP852/2024-2025/152857-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light at laskarpur durgapara dag no-2023,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9372,WS/MP852/2024-2025/152858-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of shibnagar health sub centre dag no-5602,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9373,WS/MP852/2024-2025/152859-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of kusbaria haat dag no-1849,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9374,WS/MP852/2024-2025/152860-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of kalyanpur more dag no- 107,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9375,WS/MP852/2024-2025/152861-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of dobapara more . dag no-785,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9376,WS/MP852/2024-2025/152862-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light at nishchintapur msk school .dag-8251,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9377,WS/MP852/2024-2025/152863-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light at nishchintapur tin matha more dag no-8079,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9378,WS/MP852/2024-2025/152864-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of kamurdiar kalitala bazar . dag no-9717,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9379,WS/MP852/2024-2025/152865-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of momin pur bajar . dag no-3641,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9380,WS/MP852/2024-2025/152866-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light at kumarpur gorsthan . dag no-1145,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9381,WS/MP852/2024-2025/152867-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light at mominpur kabarsthan . dag no-3644,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9382,WS/MP852/2024-2025/152868-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light at dakshin chandpur primary school . dag no-469,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9383,WS/MP852/2024-2025/152869-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light at Garibpur mondalpara kabarsthan . dag no-82,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9384,WS/MP852/2024-2025/152870-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of pardiar yuva sangha club . dag no-293,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9385,WS/MP852/2024-2025/152871-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of rajapur madrasha . dag no-1030,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9386,WS/MP852/2024-2025/152872-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of shibnagar dadanpara kabarsthan .dag no-6107,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9387,WS/MP852/2024-2025/152873-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light at garaimari bajar . dag no-5503,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9388,WS/MP852/2024-2025/152874-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of kuchimora panchayat . dag no-622,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9389,WS/MP852/2024-2025/152875-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of shrikrishnapur masjid . dag no-909,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9390,WS/MP852/2024-2025/152876-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of purba kuchemora karigarpara madrasha . dag no-3522,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9391,WS/MP852/2024-2025/152877-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light in front of sarangpur jajiya simjatul ulum madrasha . dag no-1627,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9392,WS/MP852/2024-2025/152878-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation a Solar light at murari pur bangalpara kabarsthan . dag -928,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9393,WS/MP18228/2024-2025/152879-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,"1- SABHAJEET SAROJ S\O HANSRAJ, 2- UPENDRA KUMAR YADAV S\O DAYA SHANKAR, 3- RADHEY SHYAM YADAV S\O RAGHU NANDAN YADAV, 4- NITYA NAND YADAV S\O SATY DEO YADAV K GHAR KUL 04 NAG SOLAR LIGHT",2024-11-21,2024-12-06,15,83584.0,Physical Inspection,0
9394,WS/MP18228/2024-2025/152880-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,SALEEM S\O ABDUL KAYUM K GHAR 01 NAG SOLAR LIGHT,2024-11-21,2024-12-06,15,20896.0,Physical Inspection,0
9395,WS/MP18228/2024-2025/152881-Street lights,Normal/Others,1,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ (2024-2029),Elected MP,MOOL CHANDRA YADAV S\O SILONATH YADAV K GHAR 01 NAG SOLAR LIGHT,2024-11-21,2024-12-06,15,20896.0,Physical Inspection,0
9396,WS/MP18051/2025-2026/152884-Providing CCTV camera system for security of public areas,Normal/Others,1,Chhattisgarh,MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA),ROOP KUMARI CHOUDHARY (2024-2029),Elected MP,"ANTARRAJIY MARG CHEKPOST KE PASS CCTV CAMERA STHAPNA, PARSAPALI ""A""",2024-11-16,2025-05-15,180,343912.0,Physical Inspection,0
9397,WS/MP18051/2025-2026/152885-Providing CCTV camera system for security of public areas,Normal/Others,1,Chhattisgarh,MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA),ROOP KUMARI CHOUDHARY (2024-2029),Elected MP,"ANTARRAJIY MARG CHEKPOST KE PASS CCTV CAMERA STHAPNA, KHEMDA",2024-11-16,2025-05-15,180,250000.0,Physical Inspection,0
9398,WS/MP18051/2025-2026/152886-Providing CCTV camera system for security of public areas,Normal/Others,1,Chhattisgarh,MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA),ROOP KUMARI CHOUDHARY (2024-2029),Elected MP,"ANTARRAJIY MARG CHEKPOST KE PASS CCTV CAMERA STHAPNA, BHATHORI",2024-11-16,2025-05-15,180,250000.0,Physical Inspection,0
9399,WS/MP18051/2025-2026/152888-Providing CCTV camera system for security of public areas,Normal/Others,1,Chhattisgarh,MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA),ROOP KUMARI CHOUDHARY (2024-2029),Elected MP,"TEMARI CHOUK KE PASS CCTV CAMERA STHAPNA, TEMARI",2024-11-16,2025-05-15,180,343912.0,Physical Inspection,0
9400,WS/MP18051/2025-2026/152889-Providing CCTV camera system for security of public areas,Normal/Others,1,Chhattisgarh,MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA),ROOP KUMARI CHOUDHARY (2024-2029),Elected MP,ANTARRAJIY MARG CHEKPOST KE PASS CCTV CAMERA STHAPNA,2024-11-16,2025-05-15,180,343912.0,Physical Inspection,0
9401,WS/MP852/2024-2025/152891-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation of a solar Light hasanpur chowdhurypara kabarsthan eidgah,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9402,WS/MP852/2024-2025/152892-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation of a solar Light at pathanpara jumma masjid,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9403,WS/MP852/2024-2025/152893-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation of a solar light at Kamarpara More Baligram G.p Under Bhagwangaola-ll Block,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9404,WS/MP852/2024-2025/152894-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation of a solar light at Simul tala more mouza 83 Plot no 35 Rajapur Baligram G.p Under Bhagwangaola-ll Block.,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9405,WS/MP852/2024-2025/152895-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation of a solar light at Brianagar Gorosthan Mouza Dakshinsahar Plot no 261 Baligram G.p Under Bhagwangaola-ll Block,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9406,WS/MP852/2024-2025/152896-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation of a solar light at Jaforer more Nashipur mouza Plot no 3809 Karibona G.p Under Bhagwangaola-ll Block,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9407,WS/MP852/2024-2025/152897-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation of a solar light at Topidanga High Madrisha more Tapidanga mouza Plot no 2421Amdahara G.p Under Bhagwangaola-ll Block.,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9408,WS/MP852/2024-2025/152898-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation of a solar light at Benipur More Mouza Benipue 112 Plot No 456/1002 Akheriganj G.p Under Bhagwangaola-ll Block,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9409,WS/MP852/2024-2025/152899-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation of a solar light at Najirchak Panchyat More Mouza Nashipur 66 Polt No 1693 Nashipur G.p Under Bhagwangaola-ll Block.,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9410,WS/MP852/2024-2025/152900-Lighting of public spaces,Normal/Others,1,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan (2024-2029),Elected MP,Installation of a solar light at sarangpur village kabarsthan beside rofikul islam house . dag -518,2024-11-19,2025-03-24,125,140538.0,Physical Inspection,0
9411,WS/MP18069/2025-2026/152902-Construction of buildings for community cultural activities,Normal/Others,1,Himachal Pradesh,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ (2024-2029),Elected MP,Construction of building for mahila mandal ghanota,2024-11-28,2025-07-19,233,74679.0,Work Completed,4
9412,"WS/MP453/2024-2025/152903-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Odisha,RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA),Saptagiri Sankar Ulaka (2024-2029),Elected MP,Construction of CC Road at Kunjabadi Village of Kuli GP under Rayagada Block,2024-11-22,2025-01-21,60,297076.0,Physical Inspection,0
9413,"WS/MP453/2024-2025/152904-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Odisha,RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA),Saptagiri Sankar Ulaka (2024-2029),Elected MP,"Construction of CC Road at Hatpada Village, Gajigaon GP under Rayagada Block",2024-11-22,2025-01-21,60,250000.0,Physical Inspection,0
9414,"WS/MP453/2024-2025/152905-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Odisha,RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA),Saptagiri Sankar Ulaka (2024-2029),Elected MP,Construction of CC Road at Balapadu of Badairkubadi GP under Rayagada Block,2024-11-22,2025-01-21,60,248147.0,Physical Inspection,0
9415,"WS/MP453/2024-2025/152906-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Odisha,RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA),Saptagiri Sankar Ulaka (2024-2029),Elected MP,Construction of CC Road at Jingilibadi to Penta Road of Penta GP under Rayagada Block,2024-11-22,2025-01-21,60,495835.0,Physical Inspection,0
9416,WS/MP453/2024-2025/152907-Installing tube-wells and borewells,Normal/Others,1,Odisha,RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA),Saptagiri Sankar Ulaka (2024-2029),Elected MP,Installation of Solar Pump at Kurumpeta of Karlakona GP under Rayagada Block,2024-11-22,2025-01-21,60,700000.0,Physical Inspection,0
9417,"WS/MP453/2024-2025/152908-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Odisha,RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA),Saptagiri Sankar Ulaka (2024-2029),Elected MP,Construction of CC Road at Durgapadu Village of Durgapadu GP Under Rayagada Block,2024-11-22,2025-01-21,60,247594.0,Physical Inspection,0
9418,"WS/MP453/2024-2025/152909-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Odisha,RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA),Saptagiri Sankar Ulaka (2024-2029),Elected MP,Construction of CC Road at RD Road to Kanchamuhi masani of Badairkubadi GP under Rayagada Block,2024-11-22,2025-01-21,60,247875.0,Physical Inspection,0
9419,WS/MP18335/2024-2025/152910-Construction of community centers and community halls,Normal/Others,1,Chhattisgarh,RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA),RADHE SHYAM RATHIYA (2024-2029),Elected MP,Construction of Chowk Stage,2024-11-17,2025-03-27,130,192159.0,Physical Inspection,0
9420,"WS/MP18335/2024-2025/152911-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Chhattisgarh,JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA),RADHE SHYAM RATHIYA (2024-2029),Elected MP,"Road upgradation construction work, From the main road to Middleschool-Chulha Dobra Basti.",2024-11-17,2024-12-11,24,999414.0,Physical Inspection,0
9421,"WS/MP18335/2024-2025/152912-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Chhattisgarh,JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA),RADHE SHYAM RATHIYA (2024-2029),Elected MP,CC road construction,2024-11-17,2024-12-16,29,700000.0,Physical Inspection,0
9422,"WS/MP18335/2024-2025/152913-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Normal/Others,1,Chhattisgarh,JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA),RADHE SHYAM RATHIYA (2024-2029),Elected MP,Guardwall Construction work,2024-11-17,2024-12-19,32,999922.0,Physical Inspection,0
9423,WS/MP18335/2024-2025/152914-Construction of culverts and bridges,Normal/Others,1,Chhattisgarh,JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA),RADHE SHYAM RATHIYA (2024-2029),Elected MP,"Construction Of Culvert, bridge",2024-11-17,2024-12-19,32,1399997.0,Physical Inspection,0
9424,"WS/MP18335/2024-2025/152915-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Chhattisgarh,JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA),RADHE SHYAM RATHIYA (2024-2029),Elected MP,Road upgradation construction work,2024-11-17,2024-12-11,24,999815.0,Physical Inspection,0
